Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Algisys,U.S.-based company producing producing algal oils and high protein additives using exclusive technology for cost-effective harvesting ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Algae,U.S. and Canada,United States,Ohio,Cleveland,https://www.algisys.com,2009,Dr. Charles Roe,algisys.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/CwPqtP0Q-YL_DMXyq-4eZw/bfvUapeYH4r5T6MZTxHVAVOKUx9qQf86Xu6NKL4CA8CrQ_DS0VOq2FtOPKuHgNvT9yH7Bkr6gOXA-vP4GW5yk2drmEmLTmWFAKJK-T_QHdA/G34wwog2vs5lVjCVU_osH3RYLs1N0VpHcAsbVlYxC-U)
Sun Coast Naturals ,"U.S.-based company that produces spirulina-based ingredients, including SpiPro for taste, color, and odor and PhyPro for color",Plant-based,Ingredients and inputs,Ingredient optimization,,,,,United States,Florida,Ft. Myers,https://suncoastnaturals.com,2019,Jeff Banas,suncoast.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Q6HDeVn-G10hFdXkh_CQtA/3yDo29PLoPP1Mvxc65F4pPrgPVPouS6jJpTQzHcoOu1O8uuWzJo6u9roNpUUdcSVeepdxfEmuwKRdQE2TMmZwKzt66ejGqU_G40_yozdTbM/WtieFsI4byglrQhHPbL6fTaYIxJU8tOfBxx0ywdro04)
Jupiter Research,U.S.-based company that develops vaporization technology hardware for plant-based oil extractors ,Plant-based,Bioprocessing infrastructure and equipment,Bioprocess design,,,,U.S. and Canada,United States,Arizona,Phoenix,http://www.jupiterresearch.com,2015,"Mark Scatterday, Bob Crompton",jupiter.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/_fhI-XYtsq7MlUHDfMOXrg/ffyhITs6lkdBsBPX-NWTIrSEYxry9cKanIPR676MNC5xL-5WcPhVIvZBEeSJNFjKuGEc5Ut-V_iL4wSOG4qe_5pMrQSFXuW1VIvtVF-19Mg/swuKqjsAY-HbvAEqJXo-kj5_V_cXoG9Pf9JklAyXq1o)
EverGrain,U.S.-based company that produces plant-based ingredients from spent brewing grains ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Grains,U.S. and Canada,United States,Missouri,St. Louis,https://evergrainingredients.com/,2020,Greg Balt,evergrain.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/EYpDv_MWTzZtfHNKe7UcAA/86oKDYPqcC1BosGLwrSCXV8CpFGiwJAFwHUOS8RTHKnrlM2MtlrATTFJRXvyWEPTfD8ZVBrO8XW0yw1bDLoyfifDUP0xh8C1z7pvcy4DXBc/JfH6fAufQtbyLLz-zaNJZdr0vTFzmk30gUWwanY468M)
Fermify,Austria-based deep-tech company developing alt dairy platform for casein proteins,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Europe,Austria,,Vienna,https://www.fermify.org,2021,Eva Sommer,fermify.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/oMnef_4j0alsrq0-Roc0TA/oJM3uAyqK9T9n0GylvoXtpZ0RXXiNymCg6f0DGlnBcSFx5VQaKgzNhVezbfSE8MyjImvnF7vL0bs-uMvkN8zNTbuCxqeCGdA4sy84HNdifU/bf3MyCVPLTCtFo7nMTREWSYPqahfuN6aASNdZhLp8MQ)
Gaia's Farming Co.,London based company processing hemp for the food & beverage sector. Consumer Facing. Focus on dairy-alternatives.,Plant-based,"Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment","Ingredient optimization,Bioprocess design","Oils and fats,Milk",,"Hemp,Oat,Coconut",Europe,United Kingdom,,London,www.gaiasfarming.co,2020,Michael Kyriakou,Gaia's Farming Co._image square 1000x1000px.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/WSptf4quBg7hNrAfvrsRwg/Dh8t1DAEdtYxxNFXKF9MG3LG2tmVGigqo9hnsl5K-YFSR9Z070SAqAe4VRLMxeEQMqpwYX5ra9OZBkGP_w7oapzV5zXepCupDY8dMtqTdNyTRrq3leciVmSwrNli58gNUEmhzqhZ9mKij-U5ILUmlw/_OV18kUDa-h-Zk43rfNMI_pXuQ7cdsAglVgpmCLHLfM)
Multus,UK-based startup creating the growth media to make cultivated meat affordable and accessible,Cultivated,Ingredients and inputs,"Cell culture media,Ingredient optimization",,,,Europe,United Kingdom,,London,www.multus.media,2019,"Cai Linton, Reka Tron, Kevin Pan",logo-B+Slogan+WB.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Ymlx7VIUbzfj9C0-W53YtQ/Qn4AABKAcgtKpjCE3Sb33NBUBqdZqjkBXCAZguRAP7rs_Czqf6RFh8stfwuHXhnzKKVXuos5NGhcqUJ6p328zjn9RAsTVkoLEjPItGps0Rw/EP9Y-rEuYHc2zbuICgbTQM-XgHAojxRAJSgk4owhrgc)
Scaled Impact,SADC-based company to produce alternative protein (isolate and concentrate) from a new source of pulse. ,Plant-based,"Ingredients and inputs,Food processing infrastructure and equipment",Ingredient optimization,,,Other,,South Africa,,Johannesburg,https://www.scaledimpact.org/,2016,,
Pullulo Pte Ltd,Singapore-based startup that upcycles agriculture leftovers such as fruits & vegetables into microbial for various food applications using disruptive fermentation technology. ,"Biomass fermentation,Precision fermentation","Meat,Seafood,Ingredients and inputs,Eggs,Dairy","End product formulation and manufacturing,Ingredient optimization","Ground meat,Eggs,Ingredients","Beef/veal,Pork,Fish,Chicken,Tuna,Turkey,Mutton/lamb","Palm,Coconut,Cauliflower,Eggplant",Asia Pacific,Singapore,,Singapore,www.pullulo.com.sg,2022,Jonathan Cheng,"Pullulo Logo.zip (https://v5.airtableusercontent.com/v1/14/14/1674252000000/aD9glVnv66_x_5asHHXKXA/MpIeNExYAm7ECqmybnF-8IHkaEiyioH_RWuI6arHaN91TAX7NztZuuWn86QGTJWh_lK8MLdO3ygtkGz915Jf-iAEaVe4iCcWXusdpk8yY9w/gP7W9lvA2Vq1oYCyHv1DAXXLh8ktFXUe-9whquLnWOc),Logo Main.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Gw-32XuolHRTu9D3RsjqKA/Uqe_UTZ1WVuBWqRjE5W9RhjE98Kh1n6do-7zuONMJhhQxPWrTJKfu_shHIWotjHxBcvsmtdPHzJxA-BSJzAkEq_2i1eYGMt82tRLTK3OVvM/SZRTYNWBbu4RhsfMu-hRBj_w5pVoY8PTaVT7NHwC_2A)"
eniferBio,"Finland-based company building on the legacy of the world's first commercial mycoprotein process at commercial scale by the Finnish forest industry between 1975 and 1991. Produces high-protein and cost-competitive mycoprotein ingredients for use in aquafeed, pet food and food applications.",Biomass fermentation,Ingredients and inputs,"Bioprocess design,Ingredient optimization,Host strain development,Feedstocks",,,Mycoprotein,Europe,Finland,,Espoo,www.eniferbio.fi,2020,"Simo Ellilä, Joosu Kuivanen, Heikki Keskitalo, Anssi Rantasalo, Ville Pihlajaniemi","logo_green_web_eniferbio_2021_.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/IATpDQKSE0Ihty83zA4UrA/vFlinUO-5r1JOgfj0ZLafg3rv7bMzpWMnyHirEqkyXB8Jxg6MJ55KE5HlZBbpnhXFY5Oou00FIKFlox3jxBnDI8t5TCs-vCrw1bufnh8oKoCiv7ndJQQM-dGGWnouRnU/zWJ7Z5DPEjqFl_J1P80ys16s2CZU-xGu6Ji29yWjUpo),logo_green_w1200px_eniferbio_2021.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Pox9ak5gf-JOp9iOJg_4ZA/iMXejQ43UBVGx8wVixhdieVMdyVd-udo_zDAsbn2fhavNCB72ITuF1K8adLXecD9sXFU3RmupgwgIDJOE2IfuUEFmv0iosulUquVuhdPTn4XyXJrYiaW-C1Wg6Hhb-u1/LSTx9E5gAz_B3vT1PGxWmQI0RpbpzLpN5mEuX3OKyXI)"
Optium,Israel-based company developing an AI-based platform that achieves maximum results in cellular agriculture production.,"Precision fermentation,Cultivated","Contract manufacturing/processing,Bioprocessing infrastructure and equipment",Bioprocess design,,,,Africa/Middle East,Israel,,Haifa,https://www.optium-ai.com/,2022,"Amir Trifman, Shahar Trifman, Motti Koren",
Meatleo,"Canada-based company using cell culture and a unique manufacturing bioprocess to develop cultivated beef.
",Cultivated,"Meat,Ingredients and inputs",End product formulation and manufacturing,Ground meat,,,U.S. and Canada,Canada,Québec,Saint-Bruno-de-Montarville,https://meatleo.com/,2021,Pierre Normandin,
Urban Tiller Pte Ltd,"We are a Singaporean startup working on protein extraction from all types of leaves. We are developing a proprietary platform that can process leaves of any type to extract leaf protein called Rubisco, the world’s most abundant high-quality protein. ",Plant-based,"Ingredients and inputs,Other","Ingredient optimization,Crop development,Feedstocks",,,"Duckweed,Lentils,Water Lentil,RuBisCO Protein ",Asia Pacific,Singapore,,Singapore,www.urbantiller.com,2020,"Arjun Ayyagari, Vaibhaw Dwivedi, RENERGii Ventures pte ltd",Urban Tiller Logo new square.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/bsq5jMKtxGl40jw9bD3FpA/4_zIS55N_OSnwwZMeOozGCuDdfNNAhBGOoQRpXd6idreqfXEhW_0Z2ubyIsW153LhiYpnH_tf38_Car49BKM_H_wBx-ezTZPey2XT54AK-WQqgUwtSLhem3zzbnEH4YW/GOxqU_jh4xRbsX2BbMatxpnlRkQkAy3wCZnuYkTjuPw)
Jellatech,US-based company producing cell-cultivated collagen,Cultivated,Ingredients and inputs,"Target molecule selection,End product formulation and manufacturing",,,,U.S. and Canada,United States,North Carolina,Raleigh,https://www.jellatech.com/,2020,Stephanie Michelsen,#3 Jellatech Logo-01.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/j5bs9LZlYpTdldKAIb9CQQ/T3NUO0zja2ZqRL2VMmoSgKX0R6XGGn6QzeskHb_znzAPTzQ99XQWcA5Xy2Of-W8eCkbO6k3wvz83xTDPcVZWRDbnmBkDC5zzqGXtSU3NSTc/hFPNdaZNaRCgwZTUwOlyEUhYNzVKOrPJmcLrimgUFn4)
MASI Trading,Australia/Italy based company supplying carob germ protein to food and beverage manufacturers. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,"U.S. and Canada,Europe,Asia Pacific",Australia,,Melbourne,https://www.masitrading.com/,2006,Mark Sgro,Masi Logo PSD(300dpi)(1).png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/CwnGmmntNU3fqijIetIdcQ/wy587yoSMGm99nTEBWmVPL5wGm6gqy9jT1Q3EJD2s8ZA0p2c0YficSWgjeDVgENa5y68n_aZq1gIZ1xmCu3hyJvVXXQMcf9A3gkHDIxA0y4/inyFW4gLpk2BzdAhsM7_TR-ap-jq9hRzw5LsEUzN5lk)
Smart MCs,Australian based company that provides the means for up-scaling the cell culture of cultivated meat companies.,Cultivated,"Meat,Ingredients and inputs,Other","Scaffolding and structure,Ingredient optimization",Other,,,Australia/New Zealand,Australia,,Sydney,www.SmartMCs.com.au,2022,"Payar Radfar, Lin Ding and Majid Ebrahimi Warkiani",Smart MCs Logo Main.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/D74Je-A30Tdpff3bdX-cag/n2nYF6j4163yYzYQsYtL65QREGxt4oodB9ICv4VauA26bYix7ck4kNXuFkPSju5GQJ6tF8Vppk4RGn-AwnkAZOhUxzKm7hWg86WsCewsVUg/xv2LB0OGg51_OIgYH87HuIBJEpszRIXpltMURcERwFk)
COLIPI Biotech,Germany-based company that develops fermentation processes and applies them to produce edible oils and vegan proteins carbon-neutrally.,Biomass fermentation,Ingredients and inputs,"Bioprocess design,Host strain development,Feedstocks,Ingredient optimization",,,Palm,Europe,Germany,,Hamburg,https://colipi.com/,2022,"Maximilian Webers, Philipp Arbter, Tyll Utesch, Jonas Heuer",COLIPI workd black white background.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/cG1zhOD0WGUTbTiZkA--Tg/mHR_42esh7x4TGSKoSfar1xc_fNyHeT8JKTOFZfet54H_WbLYdpRybkNjpcQK-UUjCLBoY-gfOULyhOXDPiKo9xNgzGKL-5fUy-fydt5knFiiLSKvULgCvro1ttNdAkC/p_ODRVhX_JUujEKeZcF4vDT8XOUmldW3e1M_1yznS2U)
Pigmentum,"Pigmentum is an Israel-based company that offers a sustainable and highly scalable solution for the low-cost production of high-value natural compounds for industries such as food and nutrition, health, diagnostics and research and beauty. ",Plant molecular farming,Ingredients and inputs,,,,,Africa/Middle East,Israel,,,https://www.pigmentum.co.il/technology/,2018,"Tal Lutzky
Amir Tiroler
Prof. Alexander Vainstein",
Gavan,Israel-based biotech company developing a technology to extract proteins from plant-based sources while maintaining the protein’s physical structure and preserving the high functionality of the proteins.,Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,,Africa/Middle East,Israel,,Acre,https://www.gavan.bio/,2018,"Itai Cohen
Allen Hazan
Uri Jeremias",
ImpacFat,"Singapore-based startup developing fish cell-based fat that is tasty, nutritional, and sustainable",Cultivated,"Meat,Seafood,Ingredients and inputs","Ingredient optimization,Cell line development,End product formulation and manufacturing","Other meat,Oils and fats,Ingredients",Fish,,Asia Pacific,Singapore,,Singapore,https://www.impacfat.com/,2022,"Shigeki Sugii, Mandy Hon, Lamony Chew, Cheryl Wong, Angela Lwin, Wee Kiat Ong",impacfat logo.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/B7coOU6kkG_oO2Vfn_3pYg/cLVezoM7IXT31RrDTJEeSZDuh6DnJvEePI_FFCcRKTM2TctMM3D_RxMNNNJBbHvRRFYjwIoS7uw9Cjkuf6TIKheuAHBbr2hg2PKHZ4mfR40/HZZ7hjpyyjSqnXSaY99Q1Vn-NggYrTfbzUuGemQKozs)
Imagene,Israel-based company that is developing a cost effective platform for production of high-functional protein complex for the sustainable animal-free food industry.,Plant molecular farming,Ingredients and inputs,,,,,Africa/Middle East,Israel,,,https://www.imagenefoods.com/,2020,Aviad Meizles,
Meala,MEALA is developing new ingredients and processes to replace methyl cellulose and hydrocolloids in alternative proteins.,Plant-based,Ingredients and inputs,Ingredient optimization,,,,Africa/Middle East,Israel,,Haifa, https://www.thekitchenhub.com/portfolio/,2021,"Hadar Ekhoiz Razmovich
Chef Liran Grouda
Tali Feldman-Sivan PhD",
Wild Earth Inc,"The leading US producer of alternative proteins for our pets, $12MM ARR today for our plant based products with cell based ingredients coming soon.","Plant-based,Cultivated,Fermentation-derived","Meat,Ingredients and inputs","Cell culture media,Ingredient optimization,Cell line development,Feedstocks,Bioprocess design,End product formulation and manufacturing,Scaffolding and structure","Ground meat,Ingredients,Pet food","Beef/veal,Chicken","Yeast,Pea,Soy,Barley,Canola,Peanut,Potato,Rice",U.S. and Canada,United States,California,Berkeley,www.wildearth.com,2017,"Ryan Bethencourt, Abril Estrada",WildEarth_LogoIconForrest-05.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/wVrux2Of-da8SyRBP2Sz1Q/OClVeHFTcgrgzr-VTURP8c0T9LFhRuTk6P3q9cnu4CxR9H21r-lMdXDhUf4YXSPsSH9R4u6uqg7uojzV9a5rgoVuoWjddDqYFbCuY6xDsJ1H8mgqHGBuhJAwEWiAoUyY/bgNuRfAm1Zl2fCgEBWBfZrAoj-f_Bh-5DlKyeD9q78c)
CellRev,"UK-based biotech company developing proprietary cell expansion technology to continuously grow, detach, and collect adherent cells for cellular agriculture. ",Cultivated,Bioprocessing infrastructure and equipment,"Bioprocess design,Cell culture media",Other,,,Europe,United Kingdom,,Newcastle,https://www.cellrev.co.uk/,2019,Leo Groenewegen and Martina Miotto,CellRev.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/3M-IdXb5sd_26Iofe10qoQ/L2d0dKlj0WENterkeoJUy8IGK4d-8zyUwTGnmcTMQtUbgiruJ62OOA51gE4zETCqR8T0lQAGjNukhTnmXTtAocFY5sqCd_YWZzul8nDh_HA/JzkjU0TK-NoOPeXLcnxNagN0iVwaKGoQHfUSHMU1PL8)
ANPOLY,A company that uses nanocellulose to improve the texture of alternative meat and alternative foods,"Plant-based,Cultivated","Meat,Seafood,Ingredients and inputs,Other","Scaffolding and structure,Ingredient optimization",Ingredients,,,Asia Pacific,South Korea,,POHANG,https://www.anpolyinc.com/,2017,RHO,[로고1]ANPOLY LOGO 가로_고해상도.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Z7DUYVPNRpH98DdtKF1BQQ/vFJhmpTWo4coPAsoj1Xe0Xsl9_785LMz-zFluMIA5w4rmZhTdnnwDPN7jUhHjEUY_sj5CBsNGszbpeQDehwOFs1g-3wPE7Pnp7OijDf9Faw/jKd4qTF_wjwGx2DIk5HCvctcQhpKPRVCetAcw-ZWUfk)
Meatiply,"Singapore-based local company developing and producing cultivated meat cuts through cutting-edge research, with the vision of generating healthier and more environmentally-friendly products that mimic the taste and texture of conventional meat.",Cultivated,"Meat,Ingredients and inputs","Cell line development,Bioprocess design,Cell culture media,Scaffolding and structure,End product formulation and manufacturing","Whole muscle meat,Oils and fats","Chicken,Duck,Pork",,Asia Pacific,Singapore,,Singapore,https://meatiply.com/,2021,"Prof. Teh Bin Tean, Dr. Elwin Tan, Dr. Jason Chua, Dr. Benjamin Chua",meatiply-secondary_logo-full_color.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/GT_M6-3nWGEON-ltbAtJQQ/tpjg5m0r-XwM7WClmA7GT8a-JrV8Xz9kWFS_OFjg0d7qLDK3LA_Hg68aYSnpZPOELn9E830tOHabsdYQeayvaDXN5bTMo5Sb1awf8TOy5i9-qV_1Qjieq7Ng1Yu2blh2/RxPcjC--Ytb5Sou9aktB4Fqq7oUWYdXAeRRFc1kre7o)
Atura Proteins,"UK-based company that produces chickpea, red lentil, and fava bean protein.",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,"Chickpea,Lentils,Fava bean",Europe,United Kingdom,,Somerset,https://aturaproteins.com/,2019,,
Biobritte Agro Solutions Private Limited,India-based company that produces fungi-based protein and supplements,"Plant-based,Cultivated",Ingredients and inputs,End product formulation and manufacturing,,,Mushrooms,,India ,,Pune,www.biobritte.co.in,2018,PARIMAL RAMESH UDGAVE,biobritte logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Ek9w1E6X8PVleUWL3dtS5w/vzpUr-ifr-VuiHwIzqmcZPRPkm2lN4IkFvc-d4oh8b2hlQzdceiMaOZ1d74AiH2PsCpCkEii0G9mLQ-9PMkpHd6s6533D3cO6CgACDOIp-s/MVqhSZDIwnNkrlI11FGoaKjYG8fKRsitY0Wx5py2CkM)
Dailyfood Group Limited,"China-based supplier of non GMO food ingredients and additives, animal and plant extracts, agricultural products, health care products, pharmaceutical ingredients and excipients, livestock and pet feeds, etc. ",Plant-based,"Ingredients and inputs,Contract manufacturing/processing",Ingredient optimization,Ingredients,,"Soy,Pea,Wheat,Chickpea,Fava bean,Hemp,Peanut,Rice,Mung Bean,Sunflower,Pumpkin,Corn,Seaweed",Asia Pacific,Mainland China,,Qingdao,http://www.dailyfoodgroup.cn/,2013,"David Wang, Charly Lee",
denovoMATRIX,"denovoMATRIX is Germany-based company that designs and produces biomaterials to enable cell manufacturing in higher quality, quantity and safety.",Cultivated,"Bioprocessing infrastructure and equipment,Other","Bioprocess design,Scaffolding and structure,Cell line development,Ingredient optimization,Host strain development,Target molecule selection",Other,,,Europe,Germany,,Dresden,http://www.denovomatrix.com,2018,Dr. Dejan Husman & Dr. Richard Wetzel,210314 denovoMATRIX Logo Design dunkelblau_Claim_CMYK.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/8QP8ttTjTTYVGIpZ1WnipA/Xm0Ti8UbGq21hc4odVQL7w37NO7XVlNzehX8Ky77eskWMk8NdCv6WS3EP9rZlg5jOhy9t7p2hg5eN0e31aJkVIpZt9SJqPF6oghVve8dv-D0V1bvDrHX1oWA1eSih1O6_qOQH34JE5FW6uqjo47pUg/6f5Vbs-VyBznJudGNpofZuT402m_qQOMJf2R9m87ctg)
Wild Microbes,A US-based company with a catalog of exceptional microbes for bio production. ,Precision fermentation,"Ingredients and inputs,Meat,Dairy,Eggs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment","Bioprocess design,Feedstocks,Host strain development",Other,,,"U.S. and Canada,Europe",United States,,,www.wildmicrobes.com,2021,"Tim Wannier, Ben Kramer",
Climate Refarm,A public benefit corporation subsidizing plant-based alternatives by paying institutions like schools and hospitals through the sale of carbon credits generated through dietary shifts.,"Plant-based,Fermentation-derived","Other,Meat,Ingredients and inputs",,Other,,,,United States,Colorado,Denver,https://www.climaterefarm.com/,2022,"Manny Rutinel, Sebastian Quaade, Milo Knowles",logo_square_512.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5OHctOR_dQzApX9A4GcSvw/WEDTpXqK8xTxq5b7i-yAJO4BpUPdWA0ImS2gpJHMZZ27WRPmPSqEkjYKRPV2KMNkkxhykltc18jGC-uAoUF8jUawHfWsP9E0jF0G3DShfrs/a4kLt7MOOcCjDV0YcEzGILTTp7feVYBlfoL0vUZuzbs)
Jooules ,New Zealand-based company turning clean energy and air into protein.,Biomass fermentation,Ingredients and inputs,"Bioprocess design,End product formulation and manufacturing,Target molecule selection,Ingredient optimization",,,Other,Asia Pacific,New Zealand,,WELLINGTON,www.jooules.com,2021,DAVID MCLELLAN AND SARAH CAYLOR,JOOU003 Logo Square Veri Peri Text v1 2022-03-03 21_17_21.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/FGjDZoZOxW6KPthGFoZ1pA/YRnu5rYwM9LIIxyBIwZTl6FwjPS3wpEBVhd-nUgd_sZY2-YUmtO--8yfF1TpPbpTdTChONd97d7Zw04Y5v9lVzmxFd3BFfJc-N4FypifMsbrcAYEpa6zxap96-gTnaA_uN8HYMprMJeoVUpxn2rLcA/M8y7ODz78LUbrcXv3uZ-G2izU7Pj11hyY7BVdOys328)
BPP GmbH,"Germany, Heidelberg based, globally marketing synbio player, offering growth factors and other peptides, using its unique, biotech-based, green and affordable peptide production platform to enable access to the full spectrum of established growth factors for all, and a starting point for effective peptide innovation! ","Cultivated,Fermentation-derived",Ingredients and inputs,"Cell culture media,Ingredient optimization",,,Other,,Germany,,Heidelberg,http://www.badische-peptide-proteine.de/,2019,Christoph Kutzner,BPP Logo.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/V2EdlllG5t-E1AQbxoMFzQ/eZIiMyYFbWhoZOtHyA6D1jnyXdXrrjeXrOVhS9yNXtKH3M3j6m5y3WdxS0NwS39GccefU3mFN1H4WSwVCUfo-qP1K5giz1U9N5tJ9AOwOls/K3HANVMzCppMFbE2RZ1o0cZVbndlUBNH2O2xKUouC4Q)
Veloz Bio,Mexico-based biotech company that produces various proteins using molecular farming through discarded fruits,Plant molecular farming,Ingredients and inputs,"Ingredient optimization,Bioprocess design",,,Casein,Latin America,Mexico,,Monterrey,https://velozbio.com/,2021,"Flavio Siller, Enrique Gonzalez",31c092342aea4056ad43b1b03b51f197.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/zHLdhY86zpi-G3bd0_1Riw/kxTSwLs3yYmwzCYdD2r8RCEYjLKpqTlfH-uRAKww3-KGONzLjwCxP7jsG9YuJFgpNSnPd8FXWsCzen9HAd5IkuW0zxTawmCjeOCvH-Y9tVWDfhvmqagSLIdjBofCYFgG/RU9ZWYBvmDYUyiZuarc6d3tgZTT1574LqE7ZZHnK8Vg)
FERM FOOD,Danish producer of lacto fermented plant protein for the food industry.,Plant-based,"Contract manufacturing/processing,Ingredients and inputs","Bioprocess design,Ingredient optimization",Ingredients,,"Soy,Pea,Fava bean,Lentils,Mushrooms,Seaweed,Beetroot ,Other",Europe,Denmark,,Vejen,www.ferm-food.com,2019,Jens Legarth,FermFood_logo_black.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/oZKxkW9uinIzAQ5IuMBfmA/Fiu6yZEPfuaw5NlvYQszSy0TqTRUlI7WzvL1NDt8Xeq-NdUU_yTZp9u7PevSY7W38F3-HYNnf1PSGkC3ScyX6CiEGoShw0NzS4x5Nh84ca8/Tu9ZEjWfaLWHECSWIsoKLpzfUwbJltDHMZGeygE3AtA)
Protein Distillery GmbH,"German foodtech company producing customizable vegan protein to fully substitute all functionalities of animal protein, paving the way towards sustainable food production.",Biomass fermentation,"Meat,Ingredients and inputs",Bioprocess design,Ingredients,Other,Yeast,Europe,Germany,,Esslingen,https://www.proteindistillery.com,2020,"Christoph Pitter, Michael Baunach, Marco Ries, Prof. Dr. Ing. Tomas Kurz",Logo Protein Distillery.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/v_BRokvw2nRdkZqkUFzZ9w/s0ck1wIFVUIgiaXQhRXL5NLYIx_OtihXNZfagMvZTXpVn2Rl_c5zMx_NTJe18o9OAZ5qDkw0nRi09PoiaUckEJ-iEmVCmyz86NQBykTZ3u1qODipvV9DHRyb00kedJdy/Yt9yd2I0EWtvcZm3g_fblJpkTOT-trj_WpFOAK2s5MM)
Bright Biotech,UK-based company that makes animal growth factors in tobacco plants. ,"Cultivated,Plant molecular farming",Ingredients and inputs,"Cell culture media,Ingredient optimization",,,Other,Europe,United Kingdom,,Manchester,https://www.brightbiotech.co.uk,2019,"Mohammad El Hajj, Rania Deranieh, Tariq Ali, Anil Day and Farid Khan",bright-biotech_logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5Y608265BtN6E1gqDzS3tg/5VZcQM45iqGzapJ4GWsfGZ8exKuSWl0tJO2u1Egs-YOJ5T46p8sTmunQlcREPoiDyut-2v9yZqaWZWDF-JOtcmATRrg1j_xsflkoCPh2kDw/Ob053UlXSFaMnBZwCN27NChqSs5_ywkFDs4-6wRIM10)
BRAIN Biotech,"A leading industrial biotechnology specialist with a focus on nutrition, health and the environment","Precision fermentation,Fermentation-derived","Ingredients and inputs,Contract manufacturing/processing,Other","Target molecule selection,Host strain development,Bioprocess design,Ingredient optimization",,,,Europe,Germany,,Zwingenberg,https://www.brain-biotech.com/,1993,,1529054351184.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/jT23ulDxXVLvT1SAV-QQbw/y8atDySzgrFOAVr7MAUf_C1ld9GYx3DNYJKonCs2HkYK3GLq0XrJ3dUTk_rcr-6yES5tiei3l3Ap1X8OVcTTdCNjMWnzIUuogQxvHnL9MzM/wltBoXHKbVAm3eMrbYw241RxV6uljNqR6QcK35arZZs)
AzarGen Biotechnologies,Biotech company using advanced genetic engineering and synthetic biology techniques in plants to produce high-value proteins.,"Plant molecular farming,Plant-based,Cultivated","Ingredients and inputs,Other","Target molecule selection,Cell culture media",,,Other,Africa/Middle East,South Africa,,Stellenbosch,https://azargen.com/,2003,"Dr. Mauritz Venter, Dr. Cobus Zwiegelaar, Dr. Wolfgang Schafer, Dr. Jan-Hendrik Groenewald",AzarGen_LOGO_master.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/KCjFeQaePWgOtSEJ5E4Yew/knI45ejuyCWfrKxdNP-VhdEoMI1eaVybyGZLe5vMl7Zd926-fAxBZ9Gu_Z75IYG5KTaOTPVlwtYXnKOwV6VZQjYh8lH81EkB9QAxs6ZJ9LI/LXEfOSJsa2fr5DXLMJGx8ehemfkt-yjf_guKnleG0LQ)
